Year.id,Year.display-label,Sex.id,Sex.display-label,Hisp.id,Hisp.display-label,GEO.id,GEO.id2,GEO.display-label,totpop,wa,ba,ia,aa,na,tom
Id,Year,Id,Sex,Id,Hispanic Origin,Id,Id2,Geography,Total,Race Alone - White,Race Alone - Black or African American,Race Alone - American Indian and Alaska Native,Race Alone - Asian,Race Alone - Native Hawaiian and Other Pacific Islander,Two or More Races
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",761820,611973,94537,1048,42743,335,11184
est42010,"April 1, 2010 Estimates Base",totsex,Both Sexes,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",916850,745347,106785,4182,43879,1010,15647
est72010,"July 1, 2010",female,Female,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",76739,65879,6473,1427,530,282,2148
est72010,"July 1, 2010",female,Female,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",395882,315423,51459,535,22433,171,5861
est72010,"July 1, 2010",female,Female,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",472621,381302,57932,1962,22963,453,8009
est72010,"July 1, 2010",male,Male,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",79545,68591,5886,1708,609,392,2359
est72010,"July 1, 2010",male,Male,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",367578,297099,43523,518,20816,153,5469
est72010,"July 1, 2010",male,Male,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",447123,365690,49409,2226,21425,545,7828
est72010,"July 1, 2010",totsex,Both Sexes,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",156284,134470,12359,3135,1139,674,4507
est72010,"July 1, 2010",totsex,Both Sexes,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",763460,612522,94982,1053,43249,324,11330
est72010,"July 1, 2010",totsex,Both Sexes,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",919744,746992,107341,4188,44388,998,15837
est72011,"July 1, 2011",female,Female,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",79584,68249,6790,1461,535,286,2263
est72011,"July 1, 2011",female,Female,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",397352,314654,52235,553,23621,162,6127
est72011,"July 1, 2011",female,Female,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",476936,382903,59025,2014,24156,448,8390
est72011,"July 1, 2011",male,Male,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",82503,71070,6193,1723,597,379,2541
est72011,"July 1, 2011",male,Male,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",369574,296878,44516,535,21800,155,5690
est72011,"July 1, 2011",male,Male,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",452077,367948,50709,2258,22397,534,8231
est72011,"July 1, 2011",totsex,Both Sexes,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",162087,139319,12983,3184,1132,665,4804
est72011,"July 1, 2011",totsex,Both Sexes,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",766926,611532,96751,1088,45421,317,11817
est72011,"July 1, 2011",totsex,Both Sexes,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",929013,750851,109734,4272,46553,982,16621
est72012,"July 1, 2012",female,Female,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",82289,70533,7047,1490,540,292,2387
est72012,"July 1, 2012",female,Female,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",397693,313054,52855,569,24673,161,6381
est72012,"July 1, 2012",female,Female,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",479982,383587,59902,2059,25213,453,8768
est72012,"July 1, 2012",male,Male,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",84926,73044,6429,1800,618,393,2642
est72012,"July 1, 2012",male,Male,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",370330,296129,45069,536,22545,148,5903
est72012,"July 1, 2012",male,Male,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",455256,369173,51498,2336,23163,541,8545
est72012,"July 1, 2012",totsex,Both Sexes,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",167215,143577,13476,3290,1158,685,5029
est72012,"July 1, 2012",totsex,Both Sexes,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",768023,609183,97924,1105,47218,309,12284
est72012,"July 1, 2012",totsex,Both Sexes,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",935238,752760,111400,4395,48376,994,17313
est72013,"July 1, 2013",female,Female,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",84721,72582,7313,1494,543,290,2499
est72013,"July 1, 2013",female,Female,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",398479,311781,53711,568,25675,163,6581
est72013,"July 1, 2013",female,Female,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",483200,384363,61024,2062,26218,453,9080
est72013,"July 1, 2013",male,Male,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",87294,74985,6698,1867,640,387,2717
est72013,"July 1, 2013",male,Male,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",371299,295197,45904,546,23284,152,6216
est72013,"July 1, 2013",male,Male,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",458593,370182,52602,2413,23924,539,8933
est72013,"July 1, 2013",totsex,Both Sexes,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",172015,147567,14011,3361,1183,677,5216
est72013,"July 1, 2013",totsex,Both Sexes,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",769778,606978,99615,1114,48959,315,12797
est72013,"July 1, 2013",totsex,Both Sexes,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",941793,754545,113626,4475,50142,992,18013
est72014,"July 1, 2014",female,Female,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",86884,74394,7564,1513,547,284,2582
est72014,"July 1, 2014",female,Female,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",398170,309646,54277,585,26723,162,6777
est72014,"July 1, 2014",female,Female,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",485054,384040,61841,2098,27270,446,9359
est72014,"July 1, 2014",male,Male,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",89565,76850,6918,1932,641,384,2840
est72014,"July 1, 2014",male,Male,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",371197,293566,46507,552,23996,149,6427
est72014,"July 1, 2014",male,Male,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",460762,370416,53425,2484,24637,533,9267
est72014,"July 1, 2014",totsex,Both Sexes,hisp,Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",176449,151244,14482,3445,1188,668,5422
est72014,"July 1, 2014",totsex,Both Sexes,nhisp,Not Hispanic,0500000US09001,09001,"Fairfield County, Connecticut",769367,603212,100784,1137,50719,311,13204
est72014,"July 1, 2014",totsex,Both Sexes,tothisp,Total,0500000US09001,09001,"Fairfield County, Connecticut",945816,754456,115266,4582,51907,979,18626
